entityid,Name,Phone,InPhoneBook,Denomination,Full_Address,Municipality,PostalCode,NBH_ID,NBH_MUNICIPALITY,Long,Lat
,St. Martin of Tours Roman Catholic Church,905-957-3973,Yes,Roman Catholic,166 West Street ,Township of West Lincoln,L0R2A0,WL1,West Lincoln,-79.5502198339857,43.1002268238263
,Christ Lutheran Church,905-685-8294,Yes,Lutheran,134-140 Russell Avenue ,City of St. Catharines,L2R1W1,ST11,St. Catharines,-79.2445668444849,43.1699667412415
,Jehovah's Witnesses Kingdom Hall,Not Available,No,Jehovah's Witnesses,360 Killaly Street East,City of Port Colborne,L3K1P4,PC2,Port Colborne,-79.2357344177913,42.8920185725595
,Life Abundant Fellowship Church,905-688-3958,Yes,Non-Denominational,384 Concession 7 Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL4,Niagara-on-the-Lake,-79.145483540437,43.1642477914121
,Caistorville United Church,905-692-9990,Yes,United,9550 York Road ,Township of West Lincoln,L0R2J0,WL2,West Lincoln,-79.7175700668312,43.0498572378491
,Italian Christian Church,905-354-3250,No,Italian Christian,5489 Desson Avenue ,City of Niagara Falls,L2G3S9,NF3,Niagara Falls,-79.0832460882214,43.0948875191612
,Seventh Day Adventist Church,905-358-9728,Yes,Seventh-Day Adventist,5355 Belmont Avenue ,City of Niagara Falls,L2G5T4,NF5,Niagara Falls,-79.1208741971171,43.0951000918268
,New Apostolic Church,905-371-8643,No,New Apostolic,5864 Church's Lane ,City of Niagara Falls,L2J1Y7,NF1,Niagara Falls,-79.0932781770099,43.1300422523669
,All Saints Church,905-735-0061,Yes,Anglican,80 Forks Road ,City of Welland,L3B5K5,WD5,Welland,-79.2427045342001,42.9476071433974
,Ukrainian Orthodox Church,905-354-4901,Yes,Ukrainian Orthodox,5906 Sylvia Place ,City of Niagara Falls,L2G4C1,NF3,Niagara Falls,-79.090688543437,43.0890959586
,St. Johns Anglican Church,905-680-8942,Yes,Anglican,12 Carleton Street South,City of Thorold,L2V1R6,TH2,Thorold,-79.1973522931107,43.1238569858956
,The Church of Jesus Christ,905-871-9974,Yes,Baptist,245 High Street ,Town of Fort Erie,L2A3R4,FE4,Fort Erie,-78.9156044987333,42.9114212094871
,Eglise Sacre Coeur,905-735-5823,Yes,Roman Catholic,72 Empire Street ,City of Welland,L3B2L4,WD2,Welland,-79.2394036419487,42.9911867478174
,Westminster United Church,905-682-8140,Yes,United,180 Queenston Street ,City of St. Catharines,L2R2Z7,ST9,St. Catharines,-79.2273681959218,43.1618943890545
,Lifeline Ministries,905-934-2379,Yes,Non-Denominational,89 Geneva Street ,City of St. Catharines,L2R4M9,ST10,St. Catharines,-79.2405243962585,43.1646655575123
,Mountain Park Church,905-374-2911,Yes,Mennonite Brethren,6948 Mountain Road ,City of Niagara Falls,L2E6S4,NF1,Niagara Falls,-79.1141189231465,43.1366152018675
,First Reformed Church of St. Catharines,905-685-1441,Yes,Reformed,1132-1136 Vansickle Road North,City of St. Catharines,L2S2Z3,ST3,St. Catharines,-79.2715311936389,43.1611191134258
,Niagara Christian Assembly,905-468-8971,Yes,Pentecostal Assemblies,37 Grange Crescent ,Town of Niagara-on-the-Lake,L0S1T0,NOTL3,Niagara-on-the-Lake,-79.1285680641385,43.224839330281
,Salvation Army Citadel,905-354-2834,No,Salvation Army,6812 Lundy's Lane ,City of Niagara Falls,L2G1V6,NF3,Niagara Falls,-79.1088863816788,43.0889013450238
,Croatian Roman Catholic Parish of St. Anthony of Padova Mikic Alojzije Rev,905-732-3839,Yes,Roman Catholic,360 River Road ,City of Welland,L3B2S4,WD1,Welland,-79.2385319493698,43.0015653481575
,Port Colborne Baptist Church,905-835-5668,Yes,Baptist,84 Ridgewood Avenue ,City of Port Colborne,L3K5N8,PC1,Port Colborne,-79.2688292981771,42.8858684215709
,Brockview Bible Chapel,905-684-7161,Yes,Gospel,326 Pelham Road ,City of St. Catharines,L2S1Y3,ST4,St. Catharines,-79.266688716154,43.1243192763841
,Unitarian Church,905-687-8433,Yes,Unitarian,223 Church Street ,City of St. Catharines,L2R3E8,ST9,St. Catharines,-79.2367377186342,43.164160557001
,Vineland Pentecostal,905-562-4693,Yes,Pentecostal,3994 Victoria Avenue ,Town of Lincoln,L0R2C0,LN3,Lincoln,-79.393527976208,43.1555394505768
,Niagara Christian Life Assembly,905-374-8915,Yes,Pentecostal Assemblies,5140 Kalar Road ,City of Niagara Falls,L2H1T2,NF6,Niagara Falls,-79.1359108329599,43.0989835224172
,United Pentecostal Church,905-646-0884,Yes,United Pentecostal,8 Forster Street ,City of St. Catharines,L2N1Z9,ST16,St. Catharines,-79.2373354322082,43.1869947169841
,Hephzibah Church of Jesus Christ,905-685-7388,Yes,Pentecostal,95 Niagara Street ,City of St. Catharines,L2R4L3,ST9,St. Catharines,-79.2363163919099,43.1673892514304
,Hungarian Presbyterian Church,905-735-0636,Yes,Presbyterian,142 Second Street ,City of Welland,L3B4T9,WD4,Welland,-79.2459541371303,42.98219340259
,St. Andrews Presbyterian Church,905-468-3363,Yes,Presbyterian,323 Simcoe Street ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.0799407988397,43.2552685356581
,Faith Tabernacle Pentecostal,905-735-6811,Yes,Pentecostal Assemblies,380 South Pelham Road ,City of Welland,L3B5N8,WD12,Welland,-79.2847153026097,42.993641387305
,United Mennonite Church,Not Available,No,Mennonite Brethren,335 Linwell Road ,City of St. Catharines,L2M7W7,ST16,St. Catharines,-79.2323017843719,43.1983198553271
,Wayside Chapel,Not Available,No,Non-Denominational,14916 Niagara River Parkway ,Town of Niagara-on-the-Lake,L0S1J0,NOTL2,Niagara-on-the-Lake,-79.0587140365709,43.1849833771104
,Mountainview United,905-682-0944,Yes,United,150 Glendale Avenue ,City of St. Catharines,L2T2K1,ST7,St. Catharines,-79.2350462949977,43.1332407444576
,Bethel Community United Church,Not Available,No,United,4938 Elcho Road ,Township of West Lincoln,L0R2J0,WL3,West Lincoln,-79.4407867087889,43.0173662726485
,St. Mary's Dormition Ukrainian Catholic Church,905-945-6369,Yes,Ukrainian Catholic,103 Mountain Road ,Town of Grimsby,L3M4G1,GR1,Grimsby,-79.5608769647261,43.1814965203106
,Wellspring Community Church,905-735-2503,Yes,Independent Full Gospel,370 South Pelham Road ,City of Welland,L3B5Y5,WD12,Welland,-79.2846760491412,42.992229852831
,United Brethren Church Hall,Not Available,No,United,1351 Garrison Road ,Town of Fort Erie,L2A1P4,FE5,Fort Erie,-78.9656364726619,42.9043080941583
,Elcho United Church,905-386-6878,Yes,United,6432 Elcho Road ,Township of West Lincoln,L0R2J0,WL2,West Lincoln,-79.551026410179,43.0145280515383
,Grantham Mennonite Brethren Church,905-935-5811,Yes,Mennonite Brethren,469 Grantham Avenue ,City of St. Catharines,L2M3J2,ST15,St. Catharines,-79.2220585395035,43.1964825426529
,First Baptist Church,905-871-6577,Yes,Baptist,165 Bertie Street ,Town of Fort Erie,L2A1Y9,FE4,Fort Erie,-78.9191942198484,42.9134044249223
,Queensway Free Methodist,905-356-7800,Yes,Free Methodist,4397 Dorchester Road ,City of Niagara Falls,L2E6N5,NF1,Niagara Falls,-79.1120383832937,43.1096878280258
,Jehovah's Witnesses Kingdom Hall,905-892-4680,Yes,Jehovah's Witnesses,1369 Rice Road ,Town of Pelham,L0S1E0,PE2,Pelham,-79.269647438312,43.0417641594636
,Grapeview Free Methodist Church,905-682-7641,Yes,Mennonite Brethren,1102 Vansickle Road North,City of St. Catharines,L2M1S8,ST3,St. Catharines,-79.2721407623094,43.1636650981383
,Pelham Centre United Church,905-892-5922,Yes,United,461 Canboro Road ,Town of Pelham,L0S1C0,PE1,Pelham,-79.3270731723943,43.0344530230367
,St. Paul's Anglican Church,905-871-6704,Yes,Anglican,32 Idylewylde Street ,Town of Fort Erie,L2A2L1,FE4,Fort Erie,-78.9124523555994,42.9197748890197
,The Little Wedding Chapel,905-357-0266,Yes,Non-Denominational,7701 Lundy's Lane ,City of Niagara Falls,L2H1H3,NF5,Niagara Falls,-79.1257678239763,43.089229727721
,Port of Grace,905-834-2170,Yes,United Brethren,25 Charlotte Street ,City of Port Colborne,L3K3C7,PC1,Port Colborne,-79.2508001611352,42.8856567353519
,Cornerstone Community Mennonite Brethren Church,905-468-7155,Yes,Mennonite Brethren,1570 Niagara Stone Road ,Town of Niagara-on-the-Lake,L0S1T0,NOTL3,Niagara-on-the-Lake,-79.1197351041045,43.2244074918459
,Iglesia de Cristo Misionera,905-641-0718,Yes,Pentecostal,112 Oakdale Avenue ,City of St. Catharines,L2R7P4,ST8,St. Catharines,-79.2191950280444,43.145993513712
,Trinity United Church at Campden,Not Available,No,United,4176 Fly Road ,Town of Lincoln,L0R1G0,LN4,Lincoln,-79.431612777749,43.1348456242806
,Ridgeville Bible Chapel,905-892-3347,Yes,Gospel,418 Canboro Road ,Town of Pelham,L3C2S9,PE4,Pelham,-79.322656233676,43.0350906018579
,B'Nai Tikvah,905-354-3934,Yes,Reform Judaism,5328 Ferry Street ,City of Niagara Falls,L2G1R7,NF3,Niagara Falls,-79.0821966586264,43.089291579522
,Calvary Gospel Church,905-563-4151,Yes,Associated Gospel Church,4129 Hixon Street ,Town of Lincoln,L0R1B7,LN2,Lincoln,-79.4741755830327,43.1584043571864
,St. Andrew's Anglican Church,905-945-8894,Yes,Anglican,7 Saint Andrew Avenue ,Town of Grimsby,L3M3R9,GR3,Grimsby,-79.5695757255747,43.194007401035
,The Salvation Army,905-871-1592,Yes,Christian,255 Gilmore Road ,Town of Fort Erie,L2A6G8,FE4,Fort Erie,-78.9244881117874,42.9200875644624
,Queen of Angels Oratory,905-680-0447,Yes,Roman Catholic,75 Rolls Avenue ,City of St. Catharines,L2V4Y6,ST12,St. Catharines,-79.2331037982869,43.177612803027
,St. Andrew the Apostle Church,905-732-5046,Yes,Roman Catholic,22 Golden Boulevard East,City of Welland,L3B1H4,WD2,Welland,-79.229007705941,42.9920168459167
,St. John's Anglican Church,905-680-8942,Yes,Anglican,23 Carlton Street ,City of St. Catharines,L2R1P5,ST11,St. Catharines,-79.2616601663588,43.1680536528563
,Jehovah's Witnesses Kingdom Hall,905-732-3116,Yes,Jehovah's Witnesses,862 Lyons Creek Road ,City of Welland,L3B5N4,WD1,Welland,-79.1765417848539,42.9976072690622
,First Presbyterian Church,Not Available,No,Presbyterian,1436 York Road ,Town of Niagara-on-the-Lake,L0S1J0,NOTL2,Niagara-on-the-Lake,-79.1005580987822,43.158758649822
,Living Waters Baptist Church,905-354-1545,Yes,Baptist,5511 Desson Avenue ,City of Niagara Falls,L2G3S9,NF3,Niagara Falls,-79.0832275916585,43.0945450345096
,Christ Church,905-358-9712,Yes,Anglican,4750 Zimmerman Avenue ,City of Niagara Falls,L2E3M9,NF2,Niagara Falls,-79.0616125291165,43.1049434321986
,Trinity United Church,905-227-4644,Yes,United,15 Pine Street South,City of Thorold,L2V3L1,TH2,Thorold,-79.2040065629599,43.1239646189454
,Westburne Alliance Church,905-682-3511,Yes,Christian & Missionary,237 Rykert Street ,City of St. Catharines,L2N6P3,ST4,St. Catharines,-79.2706049331658,43.1355119044186
,St. George & St. Mercurius Coptic Orthodox Church,905-684-9594,Yes,Roman Catholic,118 Glenridge Avenue ,City of St. Catharines,L2R4X7,ST6,St. Catharines,-79.2402963868986,43.1459988195421
,St. Columba Church,905-935-4473,Yes,Anglican,7 Saint Columba Drive ,City of St. Catharines,L2N3G4,ST17,St. Catharines,-79.2431648700348,43.1957070669791
,Bethany Christian Reformed Church,905-892-8980,Yes,Christian Reformed,1040 Balfour Street ,Town of Pelham,L0S1C0,PE4,Pelham,-79.3526632222646,43.0221255225272
,Christian Reformed Church,905-356-0832,Yes,Christian Reformed,4880 Jepson Street ,City of Niagara Falls,L2E1K1,NF2,Niagara Falls,-79.0741188251118,43.1001844889
,Jehovah's Witnesses Kingdom Hall,905-354-1282,Yes,Jehovah's Witnesses,6735 Caledonia Street ,City of Niagara Falls,L2G5A6,NF3,Niagara Falls,-79.1068344810596,43.073795310867
,Sherkston United Church,905-894-0392,Yes,United,5224 Highway 3  ,City of Port Colborne,L0S1R0,PC4,Port Colborne,-79.1278349030949,42.892724198693
,Cathedral of St. Catharine,905-684-3964,Yes,Roman Catholic,67 Church Street ,City of St. Catharines,L2R5M8,ST10,St. Catharines,-79.2466624378531,43.1606926789488
,Vineland Free Reformed Church,905-562-4521,Yes,Free Reformed,3685 King Street ,Town of Lincoln,L0R2C0,LN1,Lincoln,-79.4083161083423,43.1573789215375
,Holy Face of Jesus (Society of St. Pius X),905-704-0038,Yes,Reformed,181 Lake Street ,City of St. Catharines,L2R5Y8,ST11,St. Catharines,-79.2515101257142,43.169651453984
,Gospel Hall (Oakwood),905-358-0377,Yes,Gospel,7154 Adams Avenue ,City of Niagara Falls,L2G5C3,NF3,Niagara Falls,-79.1062774691737,43.0719435357282
,Port Colborne Brethren in Christ Church,905-835-2361,Yes,Brethren in Christ,10641 Highway 3  ,Township of Wainfleet,L3K5V4,WF1,Wainfleet,-79.3101706055377,42.8908111421697
,Beacon of Grace Bible Church,905-562-7170,Yes,Bible Churches,4226 Thirteenth Street ,Town of Lincoln,L0R1S0,LN3,Lincoln,-79.3411595430178,43.1682051317494
,Knox Presbyterian Chuch,905-641-8868,Yes,Presbyterian,53 Church Street ,City of St. Catharines,L2R3C3,ST10,St. Catharines,-79.2477682405019,43.1597280731327
,Niagara Church of the Nazarene,905-680-2211,Yes,Church of the Nazarene,136 Confederation Avenue ,City of Thorold,L2V5A6,TH3,Thorold,-79.2218986797511,43.1119835391946
,Our Lady of Peace Roman Catholic Church,905-358-3791,Yes,Roman Catholic,7021 Stanley Avenue ,City of Niagara Falls,L2G7B7,NF3,Niagara Falls,-79.0829568266311,43.0733826644668
,St. Luke's Anglican Church,905-945-3262,Yes,Anglican,216 Station Street ,Township of West Lincoln,L0R2A0,WL1,West Lincoln,-79.5459183061969,43.1004171898248
,Immanuel  Orthodox Reformed Church,905-562-8221,Yes,Reformed,4900 Fourth Avenue ,Town of Lincoln,L0R1S0,LN3,Lincoln,-79.3683243403161,43.1516130358754
,Lundy's Lane United,905-358-5622,Yes,United,6085 Lundy's Lane ,City of Niagara Falls,L2G7C2,NF3,Niagara Falls,-79.0951706045794,43.0897166474164
,St. Mary's Ukrainian Catholic Church,905-354-7876,Yes,Ukrainian Catholic,6248 Main Street ,City of Niagara Falls,L2G6A4,NF3,Niagara Falls,-79.0879877991601,43.0846238313396
,St. John's Greek Catholic Church Hall,905-735-3433,Yes,Greek Catholic,111 Second Street ,City of Welland,L3B4T8,WD4,Welland,-79.2456381106166,42.9816143117707
,All Peoples United Church,905-732-7431,Yes,United,109 Chaffey Street ,City of Welland,L3B2Y6,WD5,Welland,-79.2439270633055,42.9727918864878
,St. Philip by the Lake Church,905-945-5022,Yes,Unknown,377 Park Road North,Town of Grimsby,L3M2P6,GR5,Grimsby,-79.5254384793871,43.1923348677922
,St. Elizabeth Church,905-899-3423,Yes,Roman Catholic,31928 Highway 3  ,Township of Wainfleet,L0S1V0,WF1,Wainfleet,-79.3745199664754,42.9220776136439
,Glad Tiding Church of God,905-892-5122,Yes,Church of God,9 Pancake Lane ,Town of Pelham,L0S1M0,PE2,Pelham,-79.2871819706313,43.0350418769427
,Vineland United Mennonite,905-562-4422,Yes,United Mennnonite,3327 Menno Street ,Town of Lincoln,L0R2C0,LN3,Lincoln,-79.3893815542474,43.1561289438877
,Pentecostal Tabernacle,905-835-5587,Yes,Pentecostal Assemblies,12 Erie Street ,City of Port Colborne,L3K4L7,PC1,Port Colborne,-79.2534456868243,42.8920286432504
,St. Denis Church,905-685-5911,Yes,Roman Catholic,230 Lake Street ,City of St. Catharines,L2R5Z3,ST11,St. Catharines,-79.2506280929006,43.1724451613429
,Golden Harvest Baptist Chapel,Not Available,No,Baptist,3130 Point Abino Road North,Town of Fort Erie,L0S1S0,FE1,Fort Erie,-79.0941406905784,42.9595833576429
,Caistor Centre Free Methodist Church,905-957-3256,No,Methodist,8488 Bismark Road ,Township of West Lincoln,L0R2A0,WL2,West Lincoln,-79.6511061496185,43.0696440077735
,Ukrainian STS Cyril & Methodius Church,905-646-0362,Yes,Ukrainian Catholic,14 Rolls Avenue ,City of St. Catharines,L2N1W1,ST12,St. Catharines,-79.2314599635799,43.1743091981667
,Memorial United Church,905-641-5050,Yes,United,103-105 Maple Street ,City of St. Catharines,L2R2B4,ST9,St. Catharines,-79.2362928953345,43.1680034944035
,St. John the Evangelist Church,905-354-1227,Yes,Anglican,3428 Portage Road ,City of Niagara Falls,L2J2K4,NF1,Niagara Falls,-79.0990803227673,43.1234981701164
,Holy Trinity Church,905-734-3543,Yes,Anglican,77 Division Street ,City of Welland,L3B3Z8,WD3,Welland,-79.2483057178993,42.9907909099661
,St. Mary of the Assumption,905-682-3843,Yes,Roman Catholic,169 Saint Paul Crescent ,City of St. Catharines,L2S1N4,ST5,St. Catharines,-79.2517143335713,43.1475848668749
,Centennial Park Baptist Church,905-945-8932,Yes,Baptist,11 Kennedy Road ,Town of Grimsby,L3M1E8,GR7,Grimsby,-79.5505666771804,43.1876385220444
,Lighthouse Baptist Church,905-641-0100,Yes,Baptist,8 Campbell Avenue ,City of St. Catharines,L2P2M4,ST8,St. Catharines,-79.2221527610983,43.1521200378632
,North Haven Church of God,905-732-2162,Yes,Church of God,3 Carlton Avenue ,City of Welland,L3C3V3,WD9,Welland,-79.2544416530183,43.0042530443626
,St. John's United Church,905-382-3344,Yes,United,14789 Sodom Road ,City of Niagara Falls,L0S1S0,NF4,Niagara Falls,-79.057251376762,42.9677630585114
,Lutheran Church of the Good Shepard,905-356-3971,Yes,Lutheran,3900 Dorchester Road ,City of Niagara Falls,L2J4J2,NF1,Niagara Falls,-79.111570324249,43.116266944727
,British Methodist Episcopal Church,905-358-9957,Yes,Methodist,5674 Peer Street ,City of Niagara Falls,L2G1X1,NF3,Niagara Falls,-79.0884593865766,43.0875414538748
,Queen Street Baptist Church,905-684-6264,Yes,Baptist,57 Queen Street ,City of St. Catharines,L2R5G8,ST10,St. Catharines,-79.2485219350044,43.1577538313717
,Lao Christian Fellowship,905-687-4940,Yes,Mennonite Brethren,79 Page Street ,City of St. Catharines,L2R4A8,ST9,St. Catharines,-79.2342533629759,43.1683123628934
,Niagara Orchard Community Church,Not Available,No,Unknown,8169 Spring Blossom Drive ,City of Niagara Falls,L2H3G5,NF5,Niagara Falls,-79.1338744096421,43.0902138161849
,Caistor Baptist Church,905-385-2029,No,Baptist,9178 Concession Five Road ,Township of West Lincoln,L0R1E0,WL2,West Lincoln,-79.6845300775873,43.0964075062087
,St. John's Bosco Church,905-835-5418,Yes,Roman Catholic,375 Main Street West,City of Port Colborne,L3K3V9,PC3,Port Colborne,-79.2572337986414,42.8991287747452
,Church of Christ Tintern,905-563-6311,Yes,Church of Christ,4357 Spring Creek Road ,Town of Lincoln,L0R2C0,LN4,Lincoln,-79.4392971332181,43.1052116338223
,Grace Christian Reformed Church,905-732-9942,Yes,Christian Reformed,660 South Pelham Road ,City of Welland,L3C3C8,WD10,Welland,-79.2842510153148,43.00691052086
,Scottlea Presbyterian Church,905-646-0616,Yes,Presbyterian,515 Scott Street ,City of St. Catharines,L2M2P1,ST15,St. Catharines,-79.2151337349459,43.1943389210366
,Chippawa Presbyterian Church,905-295-4231,Yes,Presbyterian,8280 Willoughby Drive ,City of Niagara Falls,L2G6X2,NF4,Niagara Falls,-79.0490836278007,43.0579517126375
,Providence Christian Reformed,905-563-7249,Yes,Christian Reformed,4845 King Street ,Town of Lincoln,L0R1B8,LN1,Lincoln,-79.4687414834501,43.163608571518
,Armenian St. Gregory Church,905-685-8701,Yes,Orthodox,49 Carlton Avenue ,City of Welland,L3C1P8,WD9,Welland,-79.2544666306367,43.0067614468843
,Canadian Reform Church,Not Available,No,Canadian Reformed Church,85948 Canborough Road ,Township of Wainfleet,N1A2W1,WF1,Wainfleet,-79.577424686175,42.9924955473096
,Cooks Mills United Church,905-732-1432,Yes,United,18 Guest Road ,City of Welland,L3B5N7,WD1,Welland,-79.1776965302612,42.997870199276
,Trinity Christian Reformed Church Pastors Study,905-935-2304,Yes,Christian Reformed,1230 Old Martindale Road ,City of St. Catharines,L2R6P9,ST1,St. Catharines,-79.2866563523565,43.187978543864
,Cornerstone Christian Assembly,905-957-5727,No,Christian Assemby,214 West Street ,Township of West Lincoln,L0R2A0,WL1,West Lincoln,-79.5523855794198,43.1014763253509
,St. Patrick's Church,905-354-7451,Yes,Roman Catholic,4705 Victoria Avenue ,City of Niagara Falls,L2E4B8,NF2,Niagara Falls,-79.0737440684691,43.1061355746842
,St. John's Lutheran Church,905-835-2511,Yes,Lutheran,3421 Concession One Road ,City of Port Colborne,L3K5V3,PC4,Port Colborne,-79.165075612596,42.8916612610218
,Islamic Society of Niagara Peninsula,905-295-4845,Yes,Muslim,6768 Lyons Creek Road ,City of Niagara Falls,L2E6S5,NF4,Niagara Falls,-79.1066920581084,43.0325802155422
,Apostolic Lighthouse UPC,905-788-3943,Yes,Pen,610 Ontario Road ,City of Welland,L3B5C8,WD5,Welland,-79.2424831412606,42.9743949815528
,St. John's Lutheran Church,905-382-3516,Yes,Lutheran,3837 Netherby Road ,Town of Fort Erie,L0S1N0,FE1,Fort Erie,-79.0598871785433,42.9633919581784
,Bethel United Church,905-835-0374,Yes,United,1742 Third Concession Road ,City of Port Colborne,L3K5V5,PC4,Port Colborne,-79.1993884967153,42.9290223617811
,Queenston United Church,Not Available,No,United,14419 Niagara River Parkway ,Town of Niagara-on-the-Lake,L2E6T2,NOTL2,Niagara-on-the-Lake,-79.0569989624269,43.1646350931082
,Open Bible Faith Fellowship,905-934-1171,No,Canadian Fellowship of Churches and Ministries,310 Scott Street ,City of St. Catharines,L2N1J5,ST12,St. Catharines,-79.2344564253594,43.1857327116189
,St. Mark's Anglican Church,905-468-3123,Yes,Anglican,39-41 Byron Street ,Town of Niagara-on-the-Lake,L0S1J0,NOTL1,Niagara-on-the-Lake,-79.0678476217099,43.2555007980428
,St. Andrew's United Church,905-356-1624,Yes,United,5645 Morrison Street ,City of Niagara Falls,L2E3A3,NF2,Niagara Falls,-79.0889059512697,43.1047906220335
,St. Augustine's Church,905-734-9912,Yes,Roman Catholic,295 Saint Augustine Avenue ,City of Welland,L3C2L2,WD6,Welland,-79.2654932182428,42.9701131975726
